To be or not to be, that is the question.	
A bathroom with walls that are painted baby blue.	000000322141.jpg
May the force be with you.	
A couple of cars parked in a busy street sidewalk.	000000016977.jpg
A passenger plane taking off into the sky. 	
Bathroom containing a toilet, a sink and a wicker basket.	000000571635.jpg
a room that has a stove and a icebox in it	
A bathroom sink cluttered with multiple personal care items.	000000315702.jpg
An open box contains an unknown, purple object	
An antique, turquoise car is parked at the curb	000000472598.jpg
A kitchen with a stove, sick, and dishes	
A group of motorcycles drive down a city street.	000000126657.jpg
A cat is drinking water out of a toilet.	
A bathroom with pedestal sink and mirror over it.	000000230610.jpg
An Indian man in religious attire sitting with a decorated cow.	
A series of motorbikes parked in a row on a street	000000459912.jpg
A kitten is sitting in a bowl on a table.	
A man taking a drink from a water fountain.	000000052087.jpg
A skateboarder sitting on the edge of an open field.	
A very large plane is flying through the sky.	000000226419.jpg
The grass is always greener on the other side.	
